voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,ì£¼ì œ ëŒ€ë¶„ë¥˜,ì£¼ì œ ì¤‘ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ëŒ€ë¶„ë¥˜,ìž‘ì—…ìœ í˜• ì¤‘ë¶„ë¥˜,ì£¼ì œ_score,ìž‘ì—…ìœ í˜•_score,run_id,tagged_at
7308,12,2025-12-02 16:28:00,[금송] 3층 여자화장실 비데 누수,<p>[금송] 3층 여자화장실 비데 누수<br></p>,3F,[금송]화장실(여),<p>입주사 개별 물품 as 접수 안내</p>,2025-12-02 16:29:54.918013,관리팀,안한근,[금송] 3층 여자화장실 비데 누수,[금송] 3층 여자화장실 비데 누수 [금송] 3층 여자화장실 비데 누수 입주사 개별 물품 as 접수 안내,서비스,임대관리,청소/정리,청소/정리,7.5,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7323,12,2025-12-03 17:13:00,[금송] 2층 사무실 실내기 고장,<p>[금송] 2층 사무실 실내기 고장<br></p>,2F,[금송]근린생활시설,<p>실내기 AS완료</p>,2025-12-03 17:14:31.902951,관리팀,안한근,[금송] 2층 사무실 실내기 고장,[금송] 2층 사무실 실내기 고장 [금송] 2층 사무실 실내기 고장 실내기 AS완료,시설,냉난방/공조,작업,설정/제어,3.9000000000000004,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7340,12,2025-12-05 17:17:00,[금송] 8층 남자화장실 소변기 급수 불량,<p>[금송] 8층 남자화장실 소변기 급수 불량<br></p>,8F,[금송]화장실(남),<p>건전지 교체 처리 완료</p>,2025-12-05 17:19:20.313034,관리팀,안한근,[금송] 8층 남자화장실 소변기 급수 불량,[금송] 8층 남자화장실 소변기 급수 불량 [금송] 8층 남자화장실 소변기 급수 불량 건전지 교체 처리 완료,시설,급배수/위생,청소/정리,청소/정리,7.199999999999999,7.5,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7341,12,2025-12-05 17:22:00,[금송] 16층 사무실 난방 고장,<p>[금송] 16층 사무실 난방 고장<br></p>,16F,[금송]업무시설,<p>삼성전자 AS 접수</p>,2025-12-05 17:23:28.343128,관리팀,안한근,[금송] 16층 사무실 난방 고장,[금송] 16층 사무실 난방 고장 [금송] 16층 사무실 난방 고장 삼성전자 AS 접수,시설,냉난방/공조,작업,설정/제어,7.199999999999999,7.199999999999999,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7379,12,2025-12-09 16:59:00,[금송] 16층 바닥 전열 차단기 트립,<p>[금송] 16층 바닥 전열 차단기 트립<br></p>,16F,[금송]업무시설,<p>차단기 복구 조치 완료</p>,2025-12-09 17:00:42.480709,관리팀,안한근,[금송] 16층 바닥 전열 차단기 트립,[금송] 16층 바닥 전열 차단기 트립 [금송] 16층 바닥 전열 차단기 트립 차단기 복구 조치 완료,시설,전기/조명,작업,유지보수,7.199999999999999,3.5999999999999996,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7380,12,2025-12-09 17:04:00,[금송] 3층 여자화장실 배관 누수,<p>[금송] 3층 여자화장실 배관 누수<br></p>,3F,[금송]화장실(여),<p>배관 조임 조치 완료</p>,2025-12-09 17:04:48.349920,관리팀,안한근,[금송] 3층 여자화장실 배관 누수,[금송] 3층 여자화장실 배관 누수 [금송] 3층 여자화장실 배관 누수 배관 조임 조치 완료,시설,급배수/위생,청소/정리,청소/정리,7.199999999999999,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7381,12,2025-12-09 17:08:00,[중건] 5층 여자화장실 출입문 소음 발생,<p>[중건] 5층 여자화장실 출입문 소음 발생<br></p>,5F,[중건B]화장실(여),<p>유격 조정 조치 완료</p>,2025-12-09 17:09:18.287834,관리팀,안한근,[중건] 5층 여자화장실 출입문 소음 발생,[중건] 5층 여자화장실 출입문 소음 발생 [중건] 5층 여자화장실 출입문 소음 발생 유격 조정 조치 완료,시설,출입/도어/승강기,청소/정리,청소/정리,7.199999999999999,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7382,12,2025-12-09 17:10:00,[중건] 5층 여자화장실 출입문 손잡이 흔들림,<p>[중건] 5층 여자화장실 출입문 손잡이 흔들림<br></p>,5F,[중건B]화장실(여),<p>재고정 조치 완료</p>,2025-12-09 17:11:14.249447,관리팀,안한근,[중건] 5층 여자화장실 출입문 손잡이 흔들림,[중건] 5층 여자화장실 출입문 손잡이 흔들림 [중건] 5층 여자화장실 출입문 손잡이 흔들림 재고정 조치 완료,시설,출입/도어/승강기,작업,교체,7.199999999999999,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7393,12,2025-12-10 17:20:00,[금송] 3층 여자화장실 비데 누수,<p>[금송] 3층 여자화장실 비데 누수<br></p>,3F,[금송]화장실(여),<p>입주사 AS건 전달 안내</p>,2025-12-10 17:21:12.097178,관리팀,안한근,[금송] 3층 여자화장실 비데 누수,[금송] 3층 여자화장실 비데 누수 [금송] 3층 여자화장실 비데 누수 입주사 AS건 전달 안내,서비스,임대관리,청소/정리,청소/정리,7.5,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7415,12,2025-12-12 16:45:00,[금송] 10층 실내기 1way 고장 발생,<p>[금송] 10층 실내기 1way 고장 발생<br></p>,10F,[금송]업무시설,<p>실내기 1way 입주사 처리건 개별 as 접수 안내</p>,2025-12-12 16:51:40.229035,관리팀,안한근,[금송] 10층 실내기 1way 고장 발생,[금송] 10층 실내기 1way 고장 발생 [금송] 10층 실내기 1way 고장 발생 실내기 1way 입주사 처리건 개별 as 접수 안내,서비스,임대관리,작업,설정/제어,7.5,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7416,12,2025-12-12 16:52:00,[금송] 16층 실내기 휀 소음 발생,<p>[금송] 16층 실내기 휀 소음 발생<br></p>,16F,[금송]업무시설,<p>휀 이물질 발생 처리 완료</p>,2025-12-12 16:53:47.449437,관리팀,안한근,[금송] 16층 실내기 휀 소음 발생,[금송] 16층 실내기 휀 소음 발생 [금송] 16층 실내기 휀 소음 발생 휀 이물질 발생 처리 완료,시설,냉난방/공조,청소/정리,청소/정리,3.9000000000000004,7.5,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7453,12,2025-12-16 16:39:00,[중건] 402호 천장 변색,<p>[중건] 402호 천장 변색<br></p>,4F,[중건B]업무시설,<p>페인트 작업 조치 완료</p>,2025-12-16 16:39:51.009713,관리팀,안한근,[중건] 402호 천장 변색,[중건] 402호 천장 변색 [중건] 402호 천장 변색 페인트 작업 조치 완료,시설,건축/영선,기타,기타,3.5999999999999996,0.0,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7454,12,2025-12-16 16:40:00,[금송] 13층 남자화장실 변기 막힘,<p>[금송] 13층 남자화장실 변기 막힘<br></p>,13F,[금송]화장실(남),<p>통수 작업 조치 완료</p>,2025-12-16 16:41:40.523851,관리팀,안한근,[금송] 13층 남자화장실 변기 막힘,[금송] 13층 남자화장실 변기 막힘 [금송] 13층 남자화장실 변기 막힘 통수 작업 조치 완료,시설,급배수/위생,청소/정리,청소/정리,7.199999999999999,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7456,12,2025-12-16 16:45:00,[중건] 지하2층 여자화장실 배수 막힘,<p>[중건] 지하2층 여자화장실 배수 막힘<br></p>,B2F,[중건B]화장실(여),<p>배수구 청소 조치 완료</p>,2025-12-16 16:46:13.485371,관리팀,안한근,[중건] 지하2층 여자화장실 배수 막힘,[중건] 지하2층 여자화장실 배수 막힘 [중건] 지하2층 여자화장실 배수 막힘 배수구 청소 조치 완료,시설,급배수/위생,청소/정리,청소/정리,7.5,7.5,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7475,12,2025-12-17 17:26:00,[금송] 11층 남자화장실 소변기 급수 불량,<p>[금송] 11층 남자화장실 소변기 급수 불량<br></p>,11F,[금송]화장실(남),<p>건전지 교체 처리 완료</p>,2025-12-17 17:27:14.829074,관리팀,안한근,[금송] 11층 남자화장실 소변기 급수 불량,[금송] 11층 남자화장실 소변기 급수 불량 [금송] 11층 남자화장실 소변기 급수 불량 건전지 교체 처리 완료,시설,급배수/위생,청소/정리,청소/정리,7.199999999999999,7.5,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7507,12,2025-12-19 17:48:00,[금송] 2층 바닥 콘센트 차단기 트립,<p>[금송] 2층 바닥 콘센트 차단기 트립<br></p>,2F,[금송]근린생활시설,<p>연결부 합선 연결부 개별 분리 마감 복구 완료</p>,2025-12-19 17:49:53.652716,관리팀,안한근,[금송] 2층 바닥 콘센트 차단기 트립,[금송] 2층 바닥 콘센트 차단기 트립 [금송] 2층 바닥 콘센트 차단기 트립 연결부 합선 연결부 개별 분리 마감 복구 완료,시설,전기/조명,작업,유지보수,7.5,3.5999999999999996,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7508,12,2025-12-19 17:51:00,[중건] 3층 여자화장실 세면대 누수,<p>[중건] 3층 여자화장실 세면대 누수<br></p>,3F,[중건B]화장실(여),<p>배수구 빠짐 재연결 조치 완료</p>,2025-12-19 17:51:57.251131,관리팀,안한근,[중건] 3층 여자화장실 세면대 누수,[중건] 3층 여자화장실 세면대 누수 [중건] 3층 여자화장실 세면대 누수 배수구 빠짐 재연결 조치 완료,시설,급배수/위생,작업,교체,15.0,3.9000000000000004,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7631,12,2025-12-29 17:15:00,[금송] 3층 후문 출입문 손잡이 파손,<p>[금송] 3층 후문 출입문 손잡이 파손<br></p>,3F,[금송]업무시설,<p>교체 조치 완료</p>,2025-12-29 17:16:05.850290,관리팀,안한근,[금송] 3층 후문 출입문 손잡이 파손,[금송] 3층 후문 출입문 손잡이 파손 [금송] 3층 후문 출입문 손잡이 파손 교체 조치 완료,시설,출입/도어/승강기,작업,교체,7.199999999999999,7.5,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
7632,12,2025-12-29 17:16:00,[중건B] 1층 출입문 소음 발생,<p>[중건B] 1층 출입문 소음 발생<br></p>,1F,[중건B]근린생활시설,<p>유격 조정 처리 완료</p>,2025-12-29 17:17:46.416276,관리팀,안한근,[중건B] 1층 출입문 소음 발생,[중건B] 1층 출입문 소음 발생 [중건B] 1층 출입문 소음 발생 유격 조정 처리 완료,시설,출입/도어/승강기,계도/안내,안내,7.199999999999999,3.5999999999999996,cron_20260114_155846,2026-01-14T15:59:45.262183+09:00
